comparison,lwr,upr,p adj
zur-czcA_1,-1.999254348,2.554988191,1
ttg2B-czcA_1,-1.955844385,2.598398154,1
znuB-czcA_1,-1.943921995,2.610320545,1
BAL062_00181-czcA_1,-1.931367595,2.622874945,1
znuC-czcA_1,-1.921875952,2.632366588,1
BAL062_01982-czcA_1,-1.800299307,2.753943233,1
hmrR_2-czcA_1,-1.779674354,2.774568186,1
ytfL-czcA_1,-1.666608425,2.887634114,0.999999986
actP_3-czcA_1,-1.631597412,2.922645128,0.99999994
BAL062_01495-czcA_1,-1.191904415,3.362338124,0.996216736
ttg2A-yccS_2,-2.258891703,2.295350836,1
acrR_1-yccS_2,-2.255328423,2.298914117,1
mlaC-yccS_2,-2.209016361,2.345226179,1
ttg2C-yccS_2,-2.196723408,2.357519131,1
mdtA-yccS_2,-2.19583134,2.358411199,1
znuA-yccS_2,-2.194641877,2.359600663,1
yadG-yccS_2,-2.168362434,2.385880105,1
zur-yccS_2,-2.077774475,2.476468064,1
ttg2B-yccS_2,-2.034364512,2.519878027,1
znuB-yccS_2,-2.022442121,2.531800418,1
BAL062_00181-yccS_2,-2.009887721,2.544354818,1
znuC-yccS_2,-2.000396079,2.553846461,1
BAL062_01982-yccS_2,-1.878819433,2.675423106,1
hmrR_2-yccS_2,-1.858194481,2.696048059,1
ytfL-yccS_2,-1.745128552,2.809113987,1
actP_3-yccS_2,-1.710117538,2.844125001,0.999999998
BAL062_01495-yccS_2,-1.270424542,3.283817997,0.998951861
acrR_1-ttg2A,-2.27355799,2.28068455,1
mlaC-ttg2A,-2.227245927,2.326996612,1
ttg2C-ttg2A,-2.214952975,2.339289564,1
mdtA-ttg2A,-2.214060907,2.340181633,1
znuA-ttg2A,-2.212871444,2.341371096,1
yadG-ttg2A,-2.186592001,2.367650538,1
zur-ttg2A,-2.096004042,2.458238498,1
ttg2B-ttg2A,-2.052594079,2.501648461,1
znuB-ttg2A,-2.040671688,2.513570851,1
BAL062_00181-ttg2A,-2.028117288,2.526125251,1
znuC-ttg2A,-2.018625645,2.535616894,1
BAL062_01982-ttg2A,-1.897049,2.657193539,1
hmrR_2-ttg2A,-1.876424047,2.677818492,1
ytfL-ttg2A,-1.763358119,2.790884421,1
actP_3-ttg2A,-1.728347105,2.825895434,0.999999999
BAL062_01495-ttg2A,-1.288654109,3.265588431,0.99924728
mlaC-acrR_1,-2.230809208,2.323433332,1
ttg2C-acrR_1,-2.218516255,2.335726284,1
mdtA-acrR_1,-2.217624187,2.336618352,1
znuA-acrR_1,-2.216434724,2.337807816,1
yadG-acrR_1,-2.190155281,2.364087258,1
zur-acrR_1,-2.099567322,2.454675218,1
ttg2B-acrR_1,-2.056157359,2.498085181,1
znuB-acrR_1,-2.044234968,2.510007571,1
BAL062_00181-acrR_1,-2.031680568,2.522561971,1
znuC-acrR_1,-2.022188926,2.532053614,1
BAL062_01982-acrR_1,-1.90061228,2.653630259,1
hmrR_2-acrR_1,-1.879987328,2.674255212,1
ytfL-acrR_1,-1.766921399,2.78732114,1
actP_3-acrR_1,-1.731910385,2.822332154,0.999999999
BAL062_01495-acrR_1,-1.292217389,3.26202515,0.999295545
ttg2C-mlaC,-2.264828317,2.289414222,1
mdtA-mlaC,-2.263936249,2.29030629,1
znuA-mlaC,-2.262746786,2.291495753,1
yadG-mlaC,-2.236467343,2.317775196,1
zur-mlaC,-2.145879384,2.408363155,1
ttg2B-mlaC,-2.102469421,2.451773118,1
znuB-mlaC,-2.09054703,2.463695509,1
BAL062_00181-mlaC,-2.07799263,2.476249909,1
znuC-mlaC,-2.068500988,2.485741552,1
BAL062_01982-mlaC,-1.946924342,2.607318197,1
hmrR_2-mlaC,-1.92629939,2.62794315,1
ytfL-mlaC,-1.813233461,2.741009078,1
actP_3-mlaC,-1.778222447,2.776020092,1
BAL062_01495-mlaC,-1.338529451,3.215713088,0.99971637
mdtA-ttg2C,-2.276229202,2.278013338,1
znuA-ttg2C,-2.275039738,2.279202801,1
yadG-ttg2C,-2.248760296,2.305482244,1
zur-ttg2C,-2.158172336,2.396070203,1
ttg2B-ttg2C,-2.114762373,2.439480166,1
